,Number,title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
66,67,Slave To Love,Bryan Ferry,album rock,1985,148,0.82,0.66,-6,0.05,0.79,266000,0.18,0.03,66
67,68,Now And Forever,Richard Marx,mellow gold,1994,78,0.26,0.44,-11,0.11,0.17,215000,0.66,0.03,65
68,69,Big in Japan,Alphaville,dance rock,1984,98,0.41,0.75,-15,0.34,0.24,286000,0.07,0.04,65
69,70,Only You,Yazoo,dance rock,1982,106,0.31,0.75,-17,0.08,0.85,194000,0.33,0.04,65
70,71,Valerie,Steve Winwood,album rock,1982,116,0.53,0.72,-11,0.08,0.73,247000,0.57,0.03,65
71,72,Blue Monday '88,New Order,alternative rock,1994,130,0.89,0.68,-8,0.06,0.95,245000,0.0,0.04,65
72,73,Gold,Spandau Ballet,dance rock,2000,143,0.74,0.71,-8,0.1,0.64,231000,0.26,0.04,65
73,74,Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1986,142,0.43,0.45,-13,0.06,0.39,232000,0.57,0.04,64
74,75,Sledgehammer,Peter Gabriel,album rock,1986,96,0.69,0.66,-5,0.04,0.42,314000,0.02,0.03,64
75,76,Rhythm Of The Night,DeBarge,disco,1985,115,0.76,0.71,-12,0.08,0.96,229000,0.08,0.05,64
76,77,Jessie's Girl,Rick Springfield,album rock,1981,132,0.59,0.72,-14,0.1,0.85,194000,0.33,0.05,64
77,78,It's Raining Men,The Weather Girls,disco,1996,136,0.93,0.68,-6,0.7,0.61,211000,0.32,0.12,64
78,79,Sunshine Reggae,Laid Back,classic danish pop,2008,168,0.79,0.7,-6,0.08,0.93,258000,0.1,0.04,64
79,80,Wonderful Life,Black,dance rock,1987,106,0.52,0.72,-12,0.21,0.82,288000,0.71,0.03,64
80,81,The Riddle,Nik Kershaw,dance rock,1984,102,0.66,0.58,-8,0.14,0.9,235000,0.12,0.03,63
81,82,Papa Don't Preach,Madonna,dance pop,1986,122,0.91,0.81,-9,0.02,0.97,345000,0.31,0.04,63
82,83,Didn't We Almost Have It All,Whitney Houston,dance pop,1987,131,0.49,0.54,-10,0.14,0.34,305000,0.42,0.03,63
